epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1052.48,1.39601,4.08602,1.12529,0.34236,0.2096,0.19124,0.11744,1.31316,4.06241,1.06416,0.000158049,0.000158049,0.000158049
2,2092.63,1.32488,2.58545,1.13236,0.53162,0.21327,0.21727,0.13889,1.22078,4.09855,1.09449,0.000310445,0.000310445,0.000310445
3,3124.51,1.26268,2.06575,1.12345,0.61513,0.21411,0.21064,0.12316,1.24045,3.94935,1.14136,0.000456557,0.000456557,0.000456557
4,3962.47,1.23577,1.87459,1.11664,0.55415,0.2302,0.26835,0.17604,1.27168,3.57756,1.11203,0.000447726,0.000447726,0.000447726
5,4798.03,1.21814,1.65288,1.10399,0.4902,0.23907,0.28108,0.15368,1.45284,3.39655,1.19856,0.000438301,0.000438301,0.000438301
6,5800.38,1.18416,1.50765,1.08596,0.62637,0.24767,0.33172,0.22524,1.23494,2.94626,1.10515,0.000428876,0.000428876,0.000428876
7,6642.83,1.14976,1.36114,1.08125,0.45197,0.25806,0.33033,0.21396,1.33093,3.06184,1.13434,0.000419451,0.000419451,0.000419451
8,7477.87,1.13934,1.29397,1.08082,0.4667,0.31504,0.37098,0.24981,1.25826,2.90597,1.12406,0.000410026,0.000410026,0.000410026
9,8314.71,1.12828,1.2066,1.06746,0.42189,0.32774,0.34144,0.22034,1.30628,2.8807,1.14927,0.000400602,0.000400602,0.000400602
10,9146.7,1.10189,1.15255,1.04432,0.39668,0.32751,0.35644,0.25803,1.12339,2.99746,1.07421,0.000391177,0.000391177,0.000391177
11,9985.21,1.08923,1.09204,1.04972,0.44901,0.29672,0.35167,0.24496,1.17923,2.85171,1.11117,0.000381752,0.000381752,0.000381752
12,10803.4,1.09036,1.04251,1.04679,0.33451,0.44474,0.35702,0.24014,1.25595,2.58405,1.13764,0.000372327,0.000372327,0.000372327
13,11555.1,1.07349,1.00551,1.03579,0.38121,0.39262,0.34398,0.23902,1.19095,2.53978,1.13321,0.000362902,0.000362902,0.000362902
14,12313.6,1.07112,0.97969,1.03308,0.62212,0.30503,0.36246,0.25313,1.14534,2.51307,1.10616,0.000353478,0.000353478,0.000353478
15,13051.1,1.03352,0.92939,1.02139,0.48849,0.3867,0.40605,0.28366,1.21567,2.32725,1.13892,0.000344053,0.000344053,0.000344053
16,13774.4,1.0573,0.90756,1.03009,0.52487,0.37672,0.38675,0.26797,1.16555,2.31591,1.11967,0.000334628,0.000334628,0.000334628
17,14498.1,1.03064,0.87613,1.01828,0.57147,0.37043,0.40773,0.28216,1.18219,2.1211,1.1169,0.000325203,0.000325203,0.000325203
18,15222.1,1.02673,0.85708,1.01558,0.57813,0.35067,0.39426,0.27685,1.21928,2.32774,1.13632,0.000315778,0.000315778,0.000315778
19,15946.7,1.01421,0.84175,1.00301,0.65884,0.34512,0.42115,0.28805,1.18263,2.17025,1.12308,0.000306354,0.000306354,0.000306354
20,16669.1,1.02112,0.82866,1.00975,0.5926,0.34701,0.40249,0.28658,1.17478,2.14717,1.13189,0.000296929,0.000296929,0.000296929
21,17412.1,0.99763,0.78602,0.99887,0.73176,0.33353,0.39146,0.2752,1.14239,2.13246,1.10832,0.000287504,0.000287504,0.000287504
22,18178.9,0.99216,0.78577,1.00024,0.56573,0.40149,0.38782,0.27787,1.13673,1.9818,1.1019,0.000278079,0.000278079,0.000278079
23,18940.1,0.98934,0.77472,0.99431,0.58783,0.41185,0.41011,0.26875,1.20776,2.09062,1.0958,0.000268654,0.000268654,0.000268654
24,19697.9,0.9749,0.75772,0.99305,0.75518,0.35656,0.4027,0.28402,1.17129,2.0279,1.11564,0.00025923,0.00025923,0.00025923
25,20421.4,0.9777,0.74666,0.98913,0.78106,0.34937,0.41648,0.29589,1.17359,1.99849,1.12277,0.000249805,0.000249805,0.000249805
26,21143.6,0.96878,0.72739,0.99131,0.79104,0.35403,0.43387,0.31785,1.09191,1.94225,1.09779,0.00024038,0.00024038,0.00024038
27,21865,0.96024,0.7171,0.97964,0.61339,0.39318,0.4236,0.30592,1.10837,1.9989,1.07806,0.000230955,0.000230955,0.000230955
28,22579.6,0.96439,0.71718,0.9793,0.63914,0.3542,0.41857,0.30741,1.11601,1.97927,1.08615,0.00022153,0.00022153,0.00022153
29,23295.1,0.95472,0.70489,0.98101,0.64534,0.38986,0.43628,0.31133,1.15529,1.97092,1.10415,0.000212106,0.000212106,0.000212106
30,24010.9,0.93661,0.69196,0.97153,0.65901,0.36932,0.43825,0.31777,1.11397,2.03797,1.07875,0.000202681,0.000202681,0.000202681
31,24727.6,0.93875,0.67287,0.97737,0.61467,0.38473,0.41935,0.2979,1.12805,1.95677,1.0811,0.000193256,0.000193256,0.000193256
32,25445.3,0.93232,0.67158,0.97088,0.65306,0.36894,0.43378,0.31023,1.13034,1.88762,1.08561,0.000183831,0.000183831,0.000183831
